,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
3044,estefania,5c0e9256f220fe0004aa8e9b,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8643013,-122.2689582,,1548269914730,1548270803479,1548270920906,1548271505112,1548275383448,1548275496565
3045,valeria,5be2632a9390c000047b33e0,5bd377941ea7ea0004b88c8b,37.8751951,-122.260339,37.8756121,-122.2567365,5.0,1548268545067,1548269081164,1548270365497,1548270464821,1548272034193,1548272177579
3046,johan,5b7b14903f3df3000473a754,59b748bf56778d00043665fe,37.867973,-122.258093,37.86748250000001,-122.26981640625003,5.0,1548222401155,1548223589719,1548223678405,1548223698638,None,1548224231182
3047,valeria,5ba68d149d9da2000427f197,59b748bf56778d00043665fe,37.867973,-122.258093,37.8700973,-122.2681472,5.0,1548212655139,1548212983701,1548213042319,1548213701309,1548214040178,1548214390636
3048,valeria,5bb6a6895e1d460004bec361,59b748bf56778d00043665fe,37.867973,-122.258093,37.8698505,-122.26643000000001,4.0,1548211576616,1548211943058,1548211954150,1548212701996,1548213086362,1548214123112
3049,leonardocorrea,5b992ced0e501d0004f09eaa,5af5e4f3fddc930004f04626,37.8702712,-122.2672541,37.865438,-122.26487299999998,5.0,1548209056309,1548209834995,1548210063763,1548210245378,1548212467313,1548212868803
3050,andresrengifo,59ef978d6d5dcf0004ee41ee,5af4e45dfddc930004f04529,37.8678892,-122.256836,37.8753416,-122.2599728,5.0,1548209051232,1548209432170,1548209747799,1548210845722,1548211091015,1548211603299
3051,leonardocorrea,5b216fdb7812c300042eaf86,576c4616a7a7598173045b28,37.869751,-122.26619,37.8736114,-122.2644597,5.0,1548208952430,1548209223400,1548209823016,1548210193612,1548211882773,1548212844235
3052,valeria,5ba18475ae5c0b0004302e93,5c476771483cc3000408d99d,37.872342,-122.268696,37.8642563,-122.2503937,5.0,1548204734421,1548207050506,1548207090942,1548207098401,1548208187186,1548208444147
3053,valeria,5c47b49d0256c20004527f7b,5c476771483cc3000408d99d,37.872342,-122.268696,37.8642965,-122.25045550000002,3.0,1548204447655,1548205259523,1548205495801,1548206494061,1548208183925,1548208235927
3055,andresrengifo,5b19b88e81c42700048600b2,58865f1713c93900043a62c2,37.872271,-122.268938,37.8761499,-122.2590063,2.0,1548204343258,1548205996848,1548208308064,1548208866755,1548209244646,1548209338506
